player_name,year,season,week,game_date,opponent,result
Patrick Mahomes,2020,Regular Season,14,12/13/2020,@Dolphins,W 33 - 27
Patrick Mahomes,2020,Regular Season,13,12/07/2020,Broncos,W 22 - 16
Patrick Mahomes,2020,Regular Season,12,11/29/2020,@Buccaneers,W 27 - 24
Patrick Mahomes,2020,Regular Season,11,11/23/2020,@Raiders,W 35 - 31
Patrick Mahomes,2020,Regular Season,9,11/08/2020,Panthers,W 33 - 31
Patrick Mahomes,2020,Regular Season,8,11/01/2020,Jets,W 35 - 9
Patrick Mahomes,2020,Regular Season,7,10/25/2020,@Broncos,W 43 - 16
Patrick Mahomes,2022,Regular Season,18,01/07/2023,@Raiders,W 31 - 13
Patrick Mahomes,2022,Regular Season,17,01/01/2023,Broncos,W 27 - 24
Patrick Mahomes,2022,Regular Season,16,12/24/2022,Seahawks,W 24 - 10
Patrick Mahomes,2022,Regular Season,15,12/18/2022,@Texans,W 30 - 24
Patrick Mahomes,2022,Regular Season,14,12/11/2022,@Broncos,W 34 - 28
Patrick Mahomes,2022,Regular Season,13,12/04/2022,@Bengals,L 24 - 27
Patrick Mahomes,2022,Regular Season,12,11/27/2022,Rams,W 26 - 10
Patrick Mahomes,2020,Regular Season,6,10/19/2020,@Bills,W 26 - 17
Patrick Mahomes,2020,Regular Season,5,10/11/2020,Raiders,L 32 - 40
Patrick Mahomes,2020,Regular Season,4,10/05/2020,Patriots,W 26 - 10
Patrick Mahomes,2020,Regular Season,3,09/29/2020,@Ravens,W 34 - 20
Patrick Mahomes,2020,Regular Season,2,09/20/2020,@Chargers,W 23 - 20
Patrick Mahomes,2020,Regular Season,1,09/11/2020,Texans,W 34 - 20
Patrick Mahomes,2020,Post Season,4,02/07/2021,@Buccaneers,L 9 - 31
Patrick Mahomes,2022,Regular Season,11,11/21/2022,@Chargers,W 30 - 27
Patrick Mahomes,2022,Regular Season,10,11/13/2022,Jaguars,W 27 - 17
Patrick Mahomes,2022,Regular Season,9,11/07/2022,Titans,W 20 - 17
Patrick Mahomes,2022,Regular Season,7,10/23/2022,@49ers,W 44 - 23
Patrick Mahomes,2022,Regular Season,6,10/16/2022,Bills,L 20 - 24
Patrick Mahomes,2022,Regular Season,5,10/11/2022,Raiders,W 30 - 29
Patrick Mahomes,2022,Regular Season,4,10/03/2022,@Buccaneers,W 41 - 31
Patrick Mahomes,2022,Regular Season,3,09/25/2022,@Colts,L 17 - 20
Patrick Mahomes,2020,Post Season,3,01/24/2021,Bills,W 38 - 24
Patrick Mahomes,2020,Post Season,2,01/17/2021,Browns,W 22 - 17
Patrick Mahomes,2022,Regular Season,2,09/16/2022,Chargers,W 27 - 24
Patrick Mahomes,2022,Regular Season,1,09/11/2022,@Cardinals,W 44 - 21
Patrick Mahomes,2022,Post Season,4,02/12/2023,@Eagles,W 38 - 35
Patrick Mahomes,2022,Post Season,3,01/29/2023,Bengals,W 23 - 20
Patrick Mahomes,2022,Post Season,2,01/21/2023,Jaguars,W 27 - 20
